,Total_Population2020,white_2020,black_2020,native_2020,asian_pi_2020,hisp_2020,pct_white_2020,pct_black_2020,pct_native_2020,pct_asian_pi_2020,pct_hispanic_2020,pov_idx,haz_idx,tcost_idx,pct_poor_ns,pct_nonwhite,hh_pct_white_lt30ami,hh_pct_black_lt30ami,hh_pct_hisp_lt30ami,hh_pct_ai_pi_lt30ami,stusab,state,state_name,county,county_name,tract
25002,4644,4231,117,9,49,93,91.106804479,2.519379845,0.1937984496,1.0551248923,2.0025839793,61.0,17.0,,7.27,9.2902105492,100.0,0.0,0.0,0.0,IL,17,Illinois,1,Adams County,100
25003,2067,1827,79,4,18,38,88.388969521,3.8219641993,0.1935171746,0.8708272859,1.8384131592,46.0,17.0,,10.38,10.634048927,100.0,0.0,0.0,0.0,IL,17,Illinois,1,Adams County,201
25004,2870,2393,183,8,23,98,83.379790941,6.3763066202,0.2787456446,0.8013937282,3.4146341463,43.0,13.0,,11.08,15.809284818,100.0,0.0,0.0,0.0,IL,17,Illinois,1,Adams County,202
25005,3793,2953,528,11,6,67,77.853941471,13.920379647,0.2900079093,0.1581861323,1.7664118112,15.0,13.0,,22.84,22.751961376,61.02,37.29,0.0,1.36,IL,17,Illinois,1,Adams County,400
25006,1719,1366,198,3,6,31,79.464805119,11.518324607,0.1745200698,0.3490401396,1.8033740547,11.0,13.0,,25.87,16.527390901,87.65,8.24,0.0,2.35,IL,17,Illinois,1,Adams County,500
25007,3590,3193,119,2,31,103,88.941504178,3.3147632312,0.0557103064,0.8635097493,2.8690807799,61.0,13.0,,7.28,8.2866479925,86.21,0.0,2.76,0.0,IL,17,Illinois,1,Adams County,600
25008,1243,908,153,5,12,69,73.049074819,12.308930008,0.4022526146,0.9654062751,5.5510860821,2.0,13.0,,43.61,15.888689408,98.61,1.11,0.0,0.0,IL,17,Illinois,1,Adams County,700
25009,2455,1885,289,6,11,67,76.782077393,11.771894094,0.2443991853,0.4480651731,2.7291242363,2.0,0.0,,42.16,18.502394428,83.56,9.59,0.0,4.11,IL,17,Illinois,1,Adams County,800
25010,2572,2139,137,0,7,53,83.164852255,5.3265940902,0.0,0.2721617418,2.0606531882,22.0,0.0,,18.65,7.4506939372,86.67,0.0,2.67,0.0,IL,17,Illinois,1,Adams County,900
25011,3245,2885,102,5,13,77,88.906009245,3.1432973806,0.1540832049,0.4006163328,2.3728813559,60.0,13.0,,7.44,5.6063735615,86.67,0.0,0.0,13.33,IL,17,Illinois,1,Adams County,1001
