program_label,program,geoid,category,stusab,state,state_name,county,county_name,tract,pct_occupied,pct_minority,total_units,number_reported,pct_reported,pct_2adults,pct_1adult,pct_disabled_all,pct_age62plus,pct_white,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,pct_bed1,pct_bed2,pct_bed3,pct_hhwch,name,states
Summary,1,17001000100,census tract,IL,17,Illinois,001,Adams County,000100,96.0,16.0,46.0,45,100.0,,9.0,21.0,78.0,84.0,13.0,2.0,,0.0,87.0,4.0,9.0,9.0,IL Illinois Adams County 000100,IL Illinois
Public Housing,2,17001000100,census tract,IL,17,Illinois,001,Adams County,000100,99.0,12.0,41.0,41,100.0,,,23.0,85.0,88.0,10.0,2.0,,0.0,95.0,5.0,,,IL Illinois Adams County 000100,IL Illinois
Housing Choice Vouchers,3,17001000100,census tract,IL,17,Illinois,001,Adams County,000100,,,5.0,4,,,,,,,,,,,,,,,IL Illinois Adams County 000100,IL Illinois
Summary,1,17001000201,census tract,IL,17,Illinois,001,Adams County,000201,85.0,10.0,35.0,31,100.0,,10.0,79.0,23.0,90.0,10.0,,,0.0,87.0,13.0,,10.0,IL Illinois Adams County 000201,IL Illinois
Housing Choice Vouchers,3,17001000201,census tract,IL,17,Illinois,001,Adams County,000201,,,8.0,7,,,,,,,,,,,,,,,IL Illinois Adams County 000201,IL Illinois
Other Multifamily,5,17001000201,census tract,IL,17,Illinois,001,Adams County,000201,92.0,0.0,27.0,24,98.0,,,100.0,17.0,100.0,,,,0.0,100.0,,,,IL Illinois Adams County 000201,IL Illinois
Summary,1,17001000202,census tract,IL,17,Illinois,001,Adams County,000202,87.0,17.0,25.0,24,100.0,,21.0,72.0,29.0,83.0,17.0,,,0.0,38.0,54.0,8.0,21.0,IL Illinois Adams County 000202,IL Illinois
Housing Choice Vouchers,3,17001000202,census tract,IL,17,Illinois,001,Adams County,000202,,,7.0,6,,,,,,,,,,,,,,,IL Illinois Adams County 000202,IL Illinois
Project Based Section 8,4,17001000202,census tract,IL,17,Illinois,001,Adams County,000202,95.0,11.0,18.0,18,100.0,,,94.0,33.0,89.0,11.0,,,0.0,44.0,56.0,,,IL Illinois Adams County 000202,IL Illinois
Summary,1,17001000400,census tract,IL,17,Illinois,001,Adams County,000400,70.0,59.0,52.0,44,100.0,2.0,32.0,24.0,16.0,41.0,57.0,2.0,,0.0,48.0,30.0,23.0,34.0,IL Illinois Adams County 000400,IL Illinois
